Ticker,Name,Sector,MarketCap_B,Price,RevGrowth_%,EPSGrowth_%,GrossMargin_%,OpMargin_%,NetMargin_%,FCFMargin_%,Rule40,ROIC_%,FCFYield_%,EV_FCF,BuybackYield_%,PEDiscount_%,PEG,ForwardPE,TrailingPE,ForwardEPS,TrailingEPS,PS_Ratio,EV_EBITDA,Debt/Equity_%,ROE_%,PctOffHigh_%,Beta,Cash_B,Debt_B,DivYield_%,CurrentRatio,ShortPct_%,ShortRatio,EPSAccel,RS_Rank,InsiderPct_%,InstPct_%,Chg1m_%,Chg6m_%,Chg1y_%,Consensus,Analysts,RecMean,TargetMean,TargetHigh,TargetLow,Upside_%,EarningsDate
NVDA,NVIDIA Corporation,Technology,5422.9,224.58,105.9,127.8,74.7,66.2,63.7,13.8,172.1,77.2,0.77,128.9,0.0,49.8,0.48,14.3,28.5,15.68,7.88,,26.8,17.0,117.2,5.1,2.22,62.47,38.86,45.0,4.59,1.3,2.3,False,10.1,4.0,71.4,7.8,28.5,26.7,Strong Buy,59,1.3,327.7,515.0,180.0,45.9,17.11.2026
IT,"Gartner, Inc.",Technology,11.3,179.32,-0.6,33.1,69.6,22.6,12.0,16.3,22.0,68.9,9.29,12.5,9.29,31.7,0.71,11.0,16.1,16.36,11.17,,9.5,,113.6,32.5,0.95,1.49,3.33,0.0,0.88,18.6,7.0,False,-48.3,3.8,120.2,-11.6,18.5,-31.7,None,13,,185.15,229.0,150.0,3.3,04.08.2026
LRCX,Lam Research Corporation,Technology,384.4,307.16,30.0,34.8,50.5,37.4,31.3,13.3,67.4,62.3,0.8,123.9,0.0,51.1,1.43,26.2,53.5,11.74,5.74,,44.3,33.0,65.1,30.0,1.86,5.58,4.12,43.0,2.63,2.3,3.3,False,124.2,0.3,88.8,-0.9,28.8,140.8,Strong Buy,31,1.46,373.77,500.0,290.0,21.7,29.07.2026
ADSK,"Autodesk, Inc.",Technology,44.2,211.35,16.1,59.6,92.5,29.2,21.1,40.5,45.3,61.3,7.15,13.8,7.15,47.0,0.84,14.9,28.1,14.2,7.52,,19.1,109.5,53.9,35.2,1.31,4.16,3.7,0.0,0.85,4.4,3.7,False,-50.6,0.2,101.6,-16.9,-11.7,-34.0,Buy,34,1.53,308.66,375.0,215.0,46.0,27.08.2026
KLAC,KLA Corporation,Technology,244.2,187.11,15.2,13.8,61.3,42.5,35.6,19.3,57.7,60.1,1.07,93.6,0.0,45.6,1.8,27.9,51.3,6.71,3.65,,40.6,96.9,87.5,39.1,1.44,4.9,6.15,49.0,2.88,2.0,2.5,False,61.0,0.1,93.9,3.1,19.8,77.6,Buy,26,1.86,233.77,325.0,175.0,24.9,28.07.2026
V,Visa Inc.,Financial Services,690.8,367.98,14.4,10.2,97.7,66.1,50.8,45.9,80.5,55.0,2.95,33.7,0.0,20.3,1.64,24.5,30.8,15.0,11.96,,22.1,67.8,61.2,4.6,0.76,13.79,23.86,73.0,0.98,1.1,3.0,False,-5.9,0.1,90.2,-3.8,21.6,10.7,Strong Buy,37,1.45,419.36,466.0,330.0,14.0,28.07.2026
ADBE,Adobe Inc.,Technology,95.0,238.93,12.9,10.5,89.3,34.8,28.0,36.0,47.7,54.5,9.84,10.1,9.84,35.8,0.58,8.6,13.4,27.67,17.78,,9.5,57.7,61.9,34.3,1.42,5.64,6.79,0.0,0.77,5.2,3.6,False,-49.1,0.2,89.0,-13.5,0.0,-32.5,Hold,33,2.77,278.15,377.07,195.0,16.4,09.12.2026
IDXX,"IDEXX Laboratories, Inc.",Healthcare,40.4,513.39,9.7,17.6,62.4,35.0,25.0,20.0,44.7,50.1,2.25,45.5,2.25,16.2,2.86,30.7,36.6,16.74,14.02,,25.5,68.0,74.2,33.3,1.54,0.2,1.1,0.0,1.17,2.8,3.8,False,-33.6,0.2,96.7,-8.2,-10.0,-17.0,Buy,13,2.21,698.92,805.0,470.0,36.1,04.08.2026
MTD,"Mettler-Toledo International, I",Healthcare,30.4,1519.15,4.5,18.3,60.3,31.2,21.9,16.8,35.7,48.5,2.28,46.9,2.28,12.7,2.77,29.4,33.7,51.7,45.12,,25.5,16668.4,0.0,1.4,1.22,0.05,2.14,0.0,1.12,4.0,3.9,False,9.0,0.4,105.3,8.6,20.1,25.6,Hold,14,2.6,1457.5,1600.0,1200.0,-4.1,30.07.2026
DXCM,"DexCom, Inc.",Healthcare,33.0,87.47,13.1,43.6,62.5,24.3,20.1,20.5,37.4,46.1,3.09,31.8,3.09,19.3,1.35,28.0,34.7,3.12,2.52,,23.1,53.3,38.5,5.5,1.42,1.95,1.4,0.0,1.73,5.3,4.5,False,11.5,0.3,106.4,-3.9,31.3,28.1,Strong Buy,25,1.32,94.48,115.0,79.0,8.0,30.07.2026
RL,Ralph Lauren Corporation,Consumer Cyclical,21.0,351.86,14.0,21.6,70.3,18.4,11.8,10.5,32.4,43.6,4.2,25.0,0.0,20.9,1.81,16.8,21.3,20.91,16.54,,13.8,110.4,37.5,16.5,1.35,1.94,3.0,114.0,2.04,8.5,4.3,False,0.8,2.5,107.3,-5.1,3.0,17.4,Buy,17,1.53,446.71,520.0,250.0,27.0,06.08.2026
LLY,Eli Lilly and Company,Healthcare,1053.9,1181.89,47.7,26.2,83.4,54.2,33.5,13.9,101.9,42.7,1.05,99.4,0.0,35.3,1.14,25.0,38.6,47.34,30.61,,26.4,162.1,102.3,8.6,0.5,8.95,54.91,59.0,1.35,0.8,3.1,False,49.8,0.2,85.3,-5.2,31.3,66.4,Buy,29,1.63,1325.39,1600.0,930.0,12.1,29.10.2026
MSCI,MSCI Inc.,Financial Services,40.4,556.08,12.2,19.6,83.0,56.3,40.7,35.8,68.5,42.3,2.96,39.0,0.0,18.7,1.89,24.7,30.4,22.5,18.3,,23.8,,0.0,13.8,1.22,0.35,6.54,147.0,0.89,2.2,2.7,False,-16.7,3.6,95.7,-2.7,4.2,-0.1,Strong Buy,17,1.5,692.06,760.0,570.0,24.5,20.10.2026
GDDY,GoDaddy Inc.,Technology,12.8,100.81,6.6,29.8,63.8,27.1,17.8,23.6,33.7,41.2,9.44,12.8,9.44,36.2,0.53,9.1,14.3,11.03,7.04,,11.2,57334.3,442.9,29.3,0.94,1.2,3.84,0.0,0.63,8.4,4.5,False,-45.2,1.0,106.0,0.3,25.5,-28.6,Buy,16,2.39,106.12,170.0,76.0,5.3,30.07.2026
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,70.2,312.13,2.5,14.1,79.0,63.0,31.0,27.3,65.5,37.7,1.98,59.8,0.0,33.7,1.27,29.9,45.0,10.46,6.93,,27.0,,0.0,12.8,1.06,1.01,14.02,19.0,0.65,2.7,3.1,False,3.1,2.2,96.9,-5.4,4.2,19.7,Buy,26,1.96,353.0,394.0,270.0,13.1,28.07.2026
APA,APA Corporation,Energy,15.3,43.68,9.2,26.3,78.3,56.3,19.6,25.0,65.5,36.5,14.03,9.2,0.0,-6.0,1.18,9.8,9.2,4.47,4.74,,3.4,48.9,26.7,7.9,0.37,0.44,3.88,229.0,0.95,9.2,4.7,False,69.1,0.4,110.1,1.7,8.5,85.7,Hold,25,2.56,45.96,62.0,36.0,5.2,05.08.2026
MNST,Monster Beverage Corporation,Consumer Defensive,83.6,42.67,20.2,18.0,55.5,29.2,23.1,18.2,49.4,35.2,2.01,47.7,2.01,19.8,2.26,32.6,40.6,1.31,1.05,,27.4,1.0,25.7,14.9,0.52,3.42,0.09,0.0,3.73,3.0,4.3,True,15.5,28.3,69.6,-12.8,16.9,32.1,Buy,23,2.04,50.24,57.0,35.0,17.7,06.08.2026
ABBV,AbbVie Inc.,Healthcare,468.5,265.12,10.2,290.4,72.8,40.0,9.8,26.2,50.2,34.9,3.6,31.6,0.0,78.2,0.54,16.3,74.7,16.26,3.55,,17.3,,0.0,1.6,0.28,6.57,70.88,261.0,0.81,1.2,4.4,False,8.5,0.1,77.4,0.2,31.2,25.1,Buy,28,1.7,278.61,328.0,200.0,5.1,31.07.2026
MCO,Moody's Corporation,Financial Services,80.9,467.35,15.1,56.7,75.0,49.5,34.3,31.6,64.6,34.9,3.19,33.8,0.0,17.8,1.66,24.7,30.0,18.92,15.56,,21.5,240.7,76.9,14.5,1.33,1.5,7.62,88.0,1.19,1.9,4.2,False,-16.9,14.4,78.9,-8.6,9.6,-0.3,Buy,21,1.71,561.9,610.0,505.0,20.2,22.07.2026
NEM,Newmont Corporation,Basic Materials,127.8,121.3,15.1,11.4,68.0,51.6,33.4,34.2,66.7,33.2,6.9,14.1,0.0,23.9,2.78,11.8,15.6,10.24,7.79,,7.3,15.8,25.9,10.3,0.54,9.01,5.6,84.0,2.55,1.8,2.1,False,29.7,0.3,81.6,-7.8,23.0,46.3,Buy,21,1.57,136.6,170.0,67.0,12.6,22.10.2026
MPWR,"Monolithic Power Systems, Inc.",Technology,65.6,1335.55,47.6,85.8,55.2,31.0,24.5,13.6,78.6,32.0,0.68,144.6,0.0,53.7,1.02,38.3,82.6,34.87,16.16,,64.2,0.5,22.0,22.1,1.66,1.41,0.02,60.0,4.97,5.2,3.1,True,34.3,3.6,100.7,3.9,21.7,50.9,None,15,,1839.8,2100.0,1575.0,37.8,30.07.2026
CTAS,Cintas Corporation,Industrials,79.0,197.68,10.9,13.3,51.0,24.1,17.8,14.0,35.0,28.7,2.06,50.2,0.0,15.2,3.05,32.1,37.9,6.16,5.22,,26.2,52.1,41.4,9.8,0.91,0.24,2.71,105.0,1.45,3.8,6.3,False,-17.8,14.5,70.1,-4.7,11.6,-1.2,Buy,16,2.2,218.25,250.0,180.0,10.4,23.09.2026
CBOE,"Cboe Global Markets, Inc.",Financial Services,27.9,267.57,22.9,50.2,54.1,34.6,26.7,13.4,57.5,28.6,2.43,40.1,0.0,15.7,2.38,17.6,20.9,15.22,12.83,,14.1,28.1,26.3,27.9,0.41,2.35,1.58,129.0,1.56,3.0,2.9,False,-6.1,0.3,91.3,-12.9,-5.0,10.5,Hold,14,3.06,315.64,356.0,258.0,18.0,31.07.2026
AVGO,Broadcom Inc.,Technology,1672.5,350.36,85.5,215.3,75.5,54.3,42.9,34.3,139.8,28.3,1.83,55.8,0.0,60.1,0.35,18.1,45.3,19.38,7.74,,32.7,59.6,44.2,29.2,1.46,23.98,59.42,74.0,2.5,1.1,2.0,True,-11.6,1.9,79.8,-2.2,10.5,5.0,Strong Buy,47,1.26,531.85,715.0,215.88,51.8,09.12.2026
GRMN,Garmin Ltd.,Technology,56.9,295.04,11.4,35.3,60.1,30.4,24.5,13.6,41.8,28.0,1.83,52.2,0.0,10.7,3.06,26.5,29.7,11.13,9.94,,23.6,2.5,21.9,6.1,0.87,2.67,0.23,142.0,3.03,1.9,3.7,False,10.1,14.7,58.3,1.7,23.4,26.7,Hold,6,2.57,302.0,370.0,231.0,2.4,28.10.2026
PAYX,"Paychex, Inc.",Technology,36.2,101.59,5.9,13.9,74.4,38.5,27.4,28.6,44.4,27.0,5.22,21.1,0.0,23.4,1.85,15.9,20.7,6.39,4.9,,12.9,124.7,47.1,22.0,0.81,0.93,4.62,469.0,1.28,6.2,8.6,False,-32.9,10.3,85.9,-19.4,14.7,-16.3,Hold,14,3.0,117.29,150.0,109.0,15.5,23.09.2026
TXN,Texas Instruments Incorporated,Technology,247.2,270.65,22.8,51.8,58.3,42.6,31.1,18.2,65.4,26.1,1.43,71.7,0.0,38.2,0.97,25.4,41.1,10.64,6.58,,26.7,78.0,35.2,19.0,1.31,7.0,14.05,225.0,4.86,2.4,3.6,True,35.9,0.3,91.7,4.5,40.5,52.5,Buy,31,2.08,324.71,400.0,225.0,20.0,22.07.2026
FFIV,"F5, Inc.",Technology,25.3,446.55,10.9,11.4,81.9,24.6,22.0,21.7,35.5,25.9,2.84,33.4,2.84,32.1,1.63,24.7,36.4,18.08,12.28,,25.9,6.5,19.8,3.3,1.03,1.61,0.25,0.0,1.67,3.2,2.9,False,21.2,0.5,101.7,17.8,54.5,37.8,Hold,10,2.54,436.1,515.0,300.0,-2.3,27.07.2026
EOG,"EOG Resources, Inc.",Energy,74.9,142.86,58.7,109.4,62.6,40.7,25.7,16.8,99.4,24.5,5.98,17.5,0.0,13.2,1.35,9.6,11.0,14.91,12.94,,5.4,25.9,22.5,7.3,0.27,4.91,8.25,286.0,1.85,3.3,5.3,False,9.4,0.3,98.1,-4.9,1.8,26.0,Buy,28,2.34,162.0,193.0,134.0,13.4,05.11.2026
EBAY,eBay Inc.,Consumer Cyclical,48.0,107.83,14.8,55.0,72.1,21.6,18.6,13.2,36.4,24.1,3.29,32.8,0.0,30.0,1.56,16.1,22.9,6.72,4.7,,16.7,153.0,46.6,9.6,1.34,3.31,7.14,115.0,1.02,4.1,4.0,False,0.7,10.0,95.3,1.0,21.7,17.3,Hold,27,2.56,116.04,145.0,67.0,7.6,05.08.2026
BMY,Bristol-Myers Squibb Company,Healthcare,125.6,61.5,5.7,153.1,71.7,34.4,18.9,16.5,40.1,23.8,6.46,19.7,0.0,30.5,17.03,9.4,13.5,6.56,4.56,,8.4,201.9,46.6,10.4,0.23,11.07,45.05,410.0,1.53,2.1,5.4,True,31.9,0.1,84.9,-8.6,9.5,48.5,Buy,24,2.46,66.71,82.0,40.0,8.5,29.10.2026
ISRG,"Intuitive Surgical, Inc.",Healthcare,143.1,399.52,18.5,26.5,66.7,33.6,28.4,23.7,52.1,22.2,1.83,52.0,1.83,27.6,1.85,33.0,45.7,12.09,8.75,,32.5,,17.4,33.8,1.47,5.22,0.0,0.0,4.96,2.3,3.6,False,-25.4,0.5,89.5,6.9,-15.3,-8.8,Buy,29,1.78,476.34,685.0,324.0,19.2,20.10.2026
KO,Coca-Cola Company (The),Consumer Defensive,379.1,88.1,6.7,16.9,61.9,34.9,28.6,10.4,41.6,21.6,1.38,78.4,0.0,5.6,4.0,25.0,26.5,3.53,3.33,,24.1,115.5,42.1,4.7,0.34,16.37,44.26,241.0,1.3,0.9,2.8,False,20.5,9.9,68.2,-3.7,19.5,37.1,Buy,23,1.75,94.7,104.0,75.0,7.5,28.07.2026
CSCO,"Cisco Systems, Inc.",Technology,421.7,106.97,17.6,52.1,64.5,27.7,21.0,17.7,45.3,21.2,2.65,39.1,0.0,40.4,0.98,19.0,31.9,5.62,3.35,,23.4,62.0,27.3,17.9,0.99,15.92,31.19,157.0,0.93,1.5,4.0,False,44.3,0.1,83.4,-3.0,33.5,60.9,Buy,24,1.82,137.25,170.0,115.0,28.3,12.11.2026
VLTO,Veralto Corp,Industrials,23.5,96.2,7.5,10.1,60.2,21.4,17.3,14.2,28.9,21.1,3.44,30.9,0.0,16.6,2.27,20.2,24.2,4.77,3.98,,17.9,116.0,34.3,10.8,0.76,2.12,3.59,54.0,1.77,3.1,4.5,False,-24.0,0.2,101.3,-3.2,11.1,-7.4,Buy,14,1.88,114.79,136.0,100.0,19.3,28.07.2026
TROW,"T. Rowe Price Group, Inc.",Financial Services,22.2,104.27,10.7,28.6,51.6,28.7,29.3,26.7,39.4,20.9,9.1,10.2,0.0,3.5,2.16,10.1,10.5,10.32,9.96,,7.0,3.7,19.4,14.5,1.48,3.23,0.45,499.0,4.04,14.9,20.7,False,-10.3,1.7,91.7,-6.0,20.3,6.3,Hold,12,3.38,109.33,124.0,90.0,4.9,31.07.2026
KEYS,Keysight Technologies Inc.,Technology,60.9,357.54,36.5,109.1,63.3,25.7,19.1,28.4,62.2,19.8,3.07,32.7,3.07,46.1,0.7,25.8,47.9,13.87,7.47,,35.9,42.1,20.9,4.6,1.21,2.6,2.77,0.0,2.02,1.6,1.7,False,90.9,0.6,93.0,15.1,19.7,107.5,Buy,12,1.58,415.08,452.0,350.0,16.1,18.08.2026
OXY,Occidental Petroleum Corporatio,Energy,58.0,58.05,53.4,964.9,73.3,45.4,30.3,15.8,98.8,19.6,6.53,20.4,0.0,14.6,1.15,14.4,16.9,4.02,3.43,,5.6,34.5,10.6,13.9,0.16,4.15,14.63,193.0,1.41,0.0,0.0,False,9.4,26.8,58.0,-3.0,-4.3,26.0,Buy,25,2.31,68.0,82.0,55.0,17.1,05.08.2026
AMGN,Amgen Inc.,Healthcare,219.5,406.04,9.5,64.9,71.9,35.5,23.0,22.7,45.0,19.5,3.94,30.4,0.0,34.2,2.45,16.6,25.3,24.45,16.08,,15.2,490.3,91.5,9.2,0.43,13.99,57.3,248.0,1.37,2.6,5.4,True,37.3,0.2,85.0,-8.5,18.1,53.9,Hold,29,2.65,389.22,457.0,225.0,-4.1,04.08.2026
TKO,"TKO Group Holdings, Inc.",Communication Services,35.0,185.06,18.2,14.4,59.5,32.4,4.3,16.1,50.6,17.6,2.44,26.7,0.0,40.4,1.59,39.5,66.3,4.68,2.79,,14.1,59.2,7.1,18.5,0.64,0.59,4.95,171.0,1.28,12.6,8.0,False,-20.6,18.2,116.4,-3.9,-3.6,-4.0,Strong Buy,19,1.5,231.42,250.0,185.0,25.1,03.08.2026
TDG,Transdigm Group Incorporated,Industrials,61.1,1105.28,22.5,10.9,59.8,46.0,21.3,14.6,68.5,17.0,2.39,63.1,2.39,31.9,3.05,22.9,33.6,48.36,32.94,,18.0,,0.0,24.5,0.89,2.78,33.49,0.0,3.02,2.6,3.1,False,-30.9,0.4,97.2,-7.8,-4.9,-14.3,Buy,19,2.09,1513.37,1972.0,1331.0,36.9,04.08.2026
WDAY,"Workday, Inc.",Technology,46.0,190.99,12.8,206.0,75.8,11.8,12.3,30.0,24.6,16.8,6.62,15.2,6.62,63.2,0.7,14.4,39.2,13.23,4.87,,29.3,58.4,16.0,23.6,1.08,3.4,3.77,0.0,0.91,8.3,3.8,False,-37.9,2.2,112.5,-4.1,47.7,-21.3,Buy,38,2.26,208.68,275.0,92.0,9.3,27.08.2026
CDNS,"Cadence Design Systems, Inc.",Technology,88.7,322.0,24.2,125.4,85.9,28.6,23.6,27.6,52.8,16.5,1.82,55.8,1.82,45.0,2.36,33.7,61.3,9.55,5.25,,41.7,38.7,23.2,22.7,1.14,1.53,2.65,0.0,1.74,1.6,1.8,True,-24.9,0.3,91.6,1.9,13.3,-8.3,Strong Buy,27,1.42,403.38,470.0,300.0,25.3,27.07.2026
NXPI,NXP Semiconductors N.V.,Technology,58.0,230.16,19.5,72.6,56.1,30.4,22.6,27.0,49.9,16.5,6.13,18.6,0.0,36.7,0.47,12.7,20.1,18.1,11.46,,13.1,93.3,27.9,32.3,1.82,3.22,10.98,176.0,2.04,3.2,2.3,False,-13.3,0.1,99.4,3.9,18.7,3.3,Buy,29,1.8,311.1,400.0,190.0,35.2,28.07.2026
SYK,Stryker Corporation,Healthcare,103.5,269.75,9.4,44.1,65.6,27.0,14.4,15.9,36.4,15.3,3.97,28.1,0.0,43.1,1.28,16.1,28.3,16.72,9.52,,15.7,64.4,16.5,31.3,0.77,3.48,15.45,130.0,2.16,2.1,2.7,True,-42.7,5.4,82.8,-17.7,-17.4,-26.1,Buy,25,1.68,369.0,465.0,298.0,36.8,30.07.2026
